Brend,Cena,Godiste,Gorivo,Karoserija,Kilometraza,Kubikaza,Model,Snaga
ALFA ROMEO,550,2001,Benzin + Gas (TNG) ,Hecbek ,160000,1598,147,105
ALFA ROMEO,2000,2004,Dizel ,Hecbek ,246920,1300,147,116
ALFA ROMEO,1300,2001,Benzin ,Hecbek ,205000,1600,147,120
ALFA ROMEO,799,2005,Dizel ,Hecbek ,210111,1900,147,120
ALFA ROMEO,900,2001,Benzin ,Hecbek ,240000,1598,147,120
ALFA ROMEO,1400,2001,Dizel ,Hecbek ,244843,1910,147,116
ALFA ROMEO,2200,2003,Dizel ,Hecbek ,235224,1910,147,140
ALFA ROMEO,999,2002,Dizel ,Hecbek ,1111,1900,147,116
ALFA ROMEO,1050,2001,Benzin ,Hecbek ,254790,1600,147,105
ALFA ROMEO,1550,2002,Benzin ,Hecbek ,200000,1600,147,105
ALFA ROMEO,1360,2003,Dizel ,Hecbek ,200000,1900,147,140
ALFA ROMEO,1300,2003,Dizel ,Hecbek ,208748,1910,147,114
ALFA ROMEO,1700,2006,Benzin ,Hecbek ,74000,1598,147,105
ALFA ROMEO,1650,2003,Dizel ,Hecbek ,277200,1900,147,116
ALFA ROMEO,1650,2006,Benzin ,Hecbek ,190000,1600,147,105
ALFA ROMEO,3150,2008,Dizel ,Hecbek ,210000,1910,147,150
ALFA ROMEO,3490,2006,Dizel ,Hecbek ,206000,1910,147,120
ALFA ROMEO,1800,2004,Dizel ,Hecbek ,204000,1990,147,116
ALFA ROMEO,2550,2009,Dizel ,Hecbek ,167000,1910,147,120
ALFA ROMEO,2550,2006,Dizel ,Hecbek ,181000,1910,147,150
ALFA ROMEO,1300,2004,Dizel ,Hecbek ,220712,1910,147,116
ALFA ROMEO,1000,2006,Dizel ,Hecbek ,191319,1910,147,120
ALFA ROMEO,1350,2001,Dizel ,Limuzina ,229000,1900,147,116
ALFA ROMEO,800,2002,Benzin + Gas (TNG) ,Hecbek ,288800,1600,147,120
ALFA ROMEO,1900,2004,Dizel ,Hecbek ,207000,1910,147,140
ALFA ROMEO,1099,2002,Dizel ,Limuzina ,220000,1900,147,116
ALFA ROMEO,1500,2003,Dizel ,Kupe ,325000,1900,147,116
ALFA ROMEO,2150,2005,Dizel ,Hecbek ,213000,1910,147,120
ALFA ROMEO,1250,2003,Dizel ,Hecbek ,30000,1900,147,101
ALFA ROMEO,1000,2003,Benzin + Gas (TNG) ,Hecbek ,272335,1600,147,120
ALFA ROMEO,1300,2002,Dizel ,Hecbek ,267194,1910,147,116
ALFA ROMEO,1799,2005,Dizel ,Hecbek ,183212,1897,147,118
ALFA ROMEO,1150,2001,Benzin ,Hecbek ,292898,1598,147,105
ALFA ROMEO,1550,2001,Benzin ,Hecbek ,195000,1600,147,120
ALFA ROMEO,500,2002,Benzin + Gas (TNG) ,Hecbek ,222222,1598,147,105
ALFA ROMEO,860,2004,Dizel ,Hecbek ,230000,1900,147,140
ALFA ROMEO,1150,2002,Dizel ,Hecbek ,193500,1899,147,116
ALFA ROMEO,1550,2002,Benzin ,Hecbek ,294500,1598,147,102
ALFA ROMEO,1000,2001,Benzin + Gas (TNG) ,Limuzina ,222222,1589,147,105
ALFA ROMEO,1650,2004,Dizel ,Hecbek ,190980,1900,147,141
ALFA ROMEO,1500,2003,Dizel ,Hecbek ,355000,1900,147,150
ALFA ROMEO,1800,2003,Dizel ,Hecbek ,234000,1900,147,140
ALFA ROMEO,1300,2002,Dizel ,Hecbek ,235000,1900,147,116
ALFA ROMEO,2600,2006,Dizel ,Hecbek ,200693,1910,147,120
ALFA ROMEO,1550,2002,Dizel ,Hecbek ,266029,1900,147,116
ALFA ROMEO,2200,2005,Dizel ,Hecbek ,300654,1899,147,116
ALFA ROMEO,1400,2004,Dizel ,Hecbek ,270000,1900,147,116
ALFA ROMEO,1850,2003,Dizel ,Hecbek ,179830,1910,147,116
ALFA ROMEO,1450,2001,Benzin ,Hecbek ,160000,1600,147,105
ALFA ROMEO,1400,2004,Dizel ,Limuzina ,342000,1910,147,116
ALFA ROMEO,1750,2004,Dizel ,Hecbek ,231000,1910,147,116
ALFA ROMEO,2250,2006,Benzin ,Hecbek ,88300,1598,147,105
ALFA ROMEO,2300,2006,Dizel ,Hecbek ,170000,1900,147,150
ALFA ROMEO,2200,2008,Dizel ,Hecbek ,200000,1900,147,150
ALFA ROMEO,1100,2001,Dizel ,Hecbek ,284000,1900,147,116
ALFA ROMEO,2300,2004,Dizel ,Hecbek ,165128,1900,147,116
ALFA ROMEO,1999,2005,Dizel ,Hecbek ,221000,1910,147,116
ALFA ROMEO,1600,2003,Benzin + Gas (TNG) ,Hecbek ,260000,1600,147,105
ALFA ROMEO,2950,2008,Dizel ,Hecbek ,200551,1910,147,120
ALFA ROMEO,1350,2002,Benzin + Gas (TNG) ,Hecbek ,170000,1600,147,105
ALFA ROMEO,1150,2001,Benzin ,Hecbek ,189152,1598,147,105
